Blog	work	platform	back	just	us	our	first	look	what	internet	could	web	design	came	two	there	stuff	text	page	maybe	some	nothing	often	like	or	keep	reading	take	video	had	check	yet	through	big	ideas	features	make	email	so	pixel	might	go	down	once	users	power	virus	trying	other	security	didn	quickly	would	apple	house	july	tech	years	ago	got	idea	google	microsoft	team	three	system	help	service	both	data	ll	working	john	simple	my	answer	lot	people	few	m	here	full	weeks	into	world	goes	without	say	product	thing	ever	do	been	course	possible	stay	point	global	future	re	history	amazon	since	started	things	ve	much	app	end	job	coming	real	black	lives	matter	today	important	doing	following	project	no	call	coronavirus	deal	week	hope	probably	until	next	she	told	now	never	clear	whether	something	else	version	having	any	own	need	president	know	mostly	fact	who	get	they	their	good	others	really	wouldn	want	day	especially	before	store	still	national	problem	bit	don	than	aren	going	long	high	isn	best	case	trump	his	away	health	words	start	will	if	he	inside	outside	government	fear	white	food	give	least	use	line	care	process	very	hand	looks	said	added	should	against	either	up	st	ones	means	doesn	see	state	city	where	couple	days	spend	space	around	country	then	home	morning	night	school	year	latest	someone	multiple	tell	took	results	those	happy	hour	early	thousands	many	media	better	even	likely	think	always	quite	were	am	taking	between	me	has	covid	after	d	c	also	recent	well	went	only	american	news	public	let	because	though	wasn	being	sure	states	bad	different	seen	why	enough	major	them	off	when	friday	another	actually	gets	march	time	social	companies	second	post	its	continue	given	twitter	too	play	while	getting	together	youtube	months	read	most	which	shows	become	business	built	pandemic	company	opportunity	china	already	under	nearly	open	smart	support	april	same	these	past	comes	save	easy	kind	story	america	hard	less	must	watch	issues	please	needs	facebook	run	hours	over	did	last	pretty	great	review	won	write	list	art	such	stories	change	appeared	little	currently	online	including	called	her	life	name	way	understanding	york	person	united	number	digital	does	group	students	learn	content	thinking	saw	set	five	love	times	third	leave	put	turned	true	live	apps	phone	services	used	show	longer	release	blog	top	site	later	across	link	every	using	b	says	each	based	may	chrome	via	find	feel	free	create	add	place	user	single	made	anyone	right	friends	small	feature	search	click	several	links	come	left	question	photo	game	seem	makes	changes	view	try	tools	cost	share	old	building	found	however	part	value	everything	looking	th	key	report	understand	human	mean	ways	monday	seems	reports	u	recently	information	science	close	million	family	sale	face	music	according	almost	includes	update	hands	private	computer	higher	price	month	photos	image	personal	safety	available	done	soon	order	com	talk	videos	performance	network	rules	federal	mind	along	rest	able	event	rights	break	far	control	community	response	example	published	turn	finally	instead	making	ad	offer	stop	due	large	move	products	during	entire	focus	takes	local	everyone	short	thought	self	spent	book	light	among	money	man	readers	again	police	result	written	whole	six	him	buy	wrote	writing	age	tiktok	lack	e	article	children	four
Signal v. Noise	3	2	1	4	5	7	3	1	1	1	1	1	2	1	4	2	1	2	1	1	1	1	1	4	1	9	9	4	2	1	1	1	1	3	1	1	1	4	3	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	1	4	1	1	1	2	1	1	3	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	0	0	2	2	1	1	0	1	4	0	3	0	0	0	1	6	0	0	0	1	4	0	0	3	11	2	0	1	0	1	0	0	1	2	0	0	0	0	6	0	0	2	1	0	0	0	0	0	4	0	1	0	2	0	3	3	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	5	1	2	7	2	1	1	0	0	3	1	0	0	3	0	0	0	2	2	2	0	1	1	0	0	0	0	0	0	0	4	2	1	0	0	2	0	1	0	0	0	0	2	0	0	0	2	2	4	2	5	1	2	2	1	2	1	2	1	1	4	2	1	1	1	6	1	2	3	3	1	1	8	5	10	3	5	1	2	1	2	1	1	3	1	3	2	5	2	5	4	1	3	3	2	3	2	2	3	2	1	2	2	1	4	2	3	2	1	2	1	2	2	1	3	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	2	4	1	1	4	3	2	1	1	1	1	2	1	1	1	3	3	1	2	2	2	1	3	1	3	1	2	1	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	0	3	0	4	2	3	3	0	1	0	2	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	10	0	1	2	0	1	1	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	1	0	3	0	0	0	0	0	0	2	6	0	0	0	0	7	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	4	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	4	0	1	0	2	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	1	0	1	3	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	1	1	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	2	0	1	1	2	1	1	2	1	1	3	2	10	2	1	1	1	1	1	1	2	3	1	2	2	2	2	5	1	1	1	1	1	1	1	1	2	2	2	1	1	1	3	2	2	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	1	0	0	0	0	0	12	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	2	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	2	0	1	0	0	2	0	1	1	1	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	11	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	2	10	1	3	2	1	1	5	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	1	0	3	6	1	3	2	1	6	0	1	4	1	0	3	5	1	1	0	1	3	0	1	6	7	0	1	1	0	3	0	1	1	0	0	0	3	0	7	0	0	1	1	1	0	0	0	0	4	0	0	1	11	0	0	0	1	1	1	0	3	28	0	0	0	0	0	6	2	0	6	2	0	1	7	3	0	3	1	2	2	2	0	3	1	1	0	0	0	1	0	3	4	0	1	0	0	0	1	5	1	0	0	0	1	4	4	4	0	0	0	0	0	0	1	1	0	2	0	0	6	0	0	0	0	0	2	0	1	0	0	4	1	0	1	2	2	0	0	3	0	2	0	2	0	0	5	5	7	4	0	1	0	2	2	3	1	0	2	0	0	0	0	4	1	1	2	1	0	1	4	1	0	1	0	0	0	1	1	8	2	0	0	0	0	0	1	0	0	3	0	0	2	1	1	0	2	1	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	0	2	0	3	1	0	0	0	0	0	1	1	0	1	1	3	0	0	0	0	0	0	0	4	1	0	2	0	1	1	0	0	4	1	0	0	2	0	2	0	2	1	2	0	1	0	2	5	3	0	0	0	0	0	2	0	0	0	0	4	0	4	0	2	2	0	0	4	0	0	1	2	1	0	0	0	2	0	1	0	1	0	0	2	3	5	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	1	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	1	0	0	0	0	5	0	0	7	0	0	0	1	1	1	3	2	1	1	1	1	1	1	1	6	4	1	2	1	1	2	1	1	4	2	2	1	1	4	4	1	3	1	1	6	2	3	1	2	1	3	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	4	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSS feed – Search Engine Watch	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	1	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	2	1	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	10	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	1	0	0	0	0	2	4	1	2	2	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC News: BLOTTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	4	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gizmodo	0	0	8	1	0	1	0	0	5	0	1	0	0	0	1	4	0	3	0	0	1	1	0	2	3	1	0	0	0	3	0	1	0	0	0	1	3	0	0	6	1	1	2	0	1	0	0	0	0	2	1	0	0	2	1	0	0	2	0	1	0	4	0	0	0	1	1	1	2	1	0	0	0	0	1	0	0	3	1	1	0	0	0	6	2	0	0	2	0	0	0	1	6	0	0	1	1	1	0	5	0	0	3	1	1	1	2	1	0	0	1	1	2	0	0	2	1	1	0	0	3	0	0	0	1	1	1	1	0	0	0	6	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	5	6	1	0	0	0	0	0	0	2	1	0	3	1	0	0	1	0	0	1	1	0	0	3	2	2	0	0	1	0	0	2	5	1	1	0	0	0	0	0	0	2	0	0	3	0	0	2	0	1	0	2	0	0	2	0	0	0	1	0	1	0	1	0	1	0	3	0	1	0	2	0	0	4	4	1	0	0	0	0	0	2	0	0	5	0	2	1	0	3	0	2	0	0	0	0	0	1	2	10	2	3	0	2	0	0	1	1	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	5	0	0	2	1	2	1	1	0	0	0	4	2	0	2	1	0	0	1	0	0	1	22	1	2	1	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	2	1	0	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	1	1	3	1	1	1	1	1	3	4	2	1	1	1	1	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be387aca-d5d4-11ea-8ac8-f218987b58f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
